shipment_id,shipment_date,origin_region,destination_region,equipment_type,weight_lbs,cubic_feet,lead_time_hours,num_carrier_bids,lane_volume,winning_bid_price
SHP-108002,2024-05-23 00:00:00,NE-1,MW-2,Large Straight,2065.8,17.8,5.4,1.0,202,1949.88
SHP-113243,2024-08-29 00:00:00,WC-1,NE-2,Sprinter Van,1106.2,10.4,53.8,4.0,131,1097.86
SHP-119902,2024-12-26 00:00:00,NE-2,SE-1,Tractor Trailer,7316.8,51.4,6.2,1.0,161,7952.75
SHP-101498,2024-01-28 00:00:00,MW-1,NE-1,Flatbed,1111.95,18.6,5.6,1.0,420,2870.28
SHP-109417,2024-06-19 00:00:00,SE-1,SE-3,Large Straight,2415.6,18.6,10.1,4.0,100,965.22
SHP-112241,2024-08-10 00:00:00,NE-1,NW-1,Cargo Van,463.1,4.4,29.5,4.0,55,696.83
SHP-124618,2025-03-23 00:00:00,SE-2,MW-1,Small Straight,1014.6,7.8,30.4,8.0,237,906.37
SHP-122978,2025-02-21 00:00:00,WC-1,MW-1,Tractor Trailer,2198.2,23.0,13.7,13.0,250,6006.63135804802
SHP-360003,2025-04-18 00:00:00,MW-1,WC-2,Sprinter Van,0.001,0.001,0.01,-1.0,45,1130.61
SHP-128106,2025-05-24 00:00:00,MW-1,SW-1,Small Straight,770.1,6.7,10.9,3.0,199,970.34
SHP-111913,2024-08-04 00:00:00,SC-2,NW-1,Tractor Trailer,1312.0,8.4,12.7,6.0,31,3018.06
SHP-106901,2024-05-03 00:00:00,NE-3,MW-2,Small Straight,2138.3,24.1,9.2,5.0,90,1458.39
SHP-113115,2024-08-26 00:00:00,MW-2,NE-3,Large Straight,2500.3,19.7,15.2,7.0,87,1392.39
SHP-125426,2025-04-07 00:00:00,NE-1,WC-1,Small Straight,2084.0,20.7,25.6,7.0,225,1643.79
SHP-106537,2024-04-27 00:00:00,SC-2,SC-1,Small Straight,614.4,5.4,17.2,1.0,138,287.96
SHP-127166,2025-05-07 00:00:00,WC-3,MW-1,Sprinter Van,62.4,8.8,20.6,6.0,121,458.42
SHP-106067,2024-04-18 00:00:00,SE-2,CN-1,Sprinter Van,548.7,5.9,7.2,1.0,41,770.83
SHP-118771,2024-12-05 00:00:00,WC-3,NE-1,Large Straight,678.5,3.3,41.4,10.0,95,1310.95
SHP-110017,2024-06-29 00:00:00,SE-1,MW-2,Cargo Van,327.6,2.7,53.0,4.0,176,346.02
SHP-109825,2024-06-26 00:00:00,WC-3,WC-1,Sprinter Van,281.9,2.4,13.3,7.0,71,211.78
SHP-120332,2025-01-03 00:00:00,WC-2,WC-3,Tractor Trailer,2714.5,36.1,13.5,4.0,47,1634.1
SHP-109381,2024-06-19 00:00:00,SE-2,NE-2,Small Straight,3870.6,22.7,50.2,6.0,109,1368.94
SHP-104262,2024-03-18 00:00:00,MW-1,NE-3,Sprinter Van,345.7,3.2,44.9,8.0,159,330.09
SHP-124724,2025-03-25 00:00:00,SC-2,NE-1,Small Straight,1111.95,7.4,4.3,1.0,179,2124.84
SHP-122678,2025-02-15 00:00:00,WC-1,NW-1,Reefer,1703.2,9.6,4.9,2.0,28,2242.45
SHP-107707,2024-05-18 00:00:00,WC-2,NE-2,Cargo Van,336.1,2.1,30.1,6.0,83,737.5
SHP-112734,2024-08-20 00:00:00,SE-1,MW-3,Sprinter Van,483.1,4.6,13.9,8.0,75,490.68
SHP-100587,2024-01-11 00:00:00,NE-2,SE-1,Reefer,1723.0,16.1,19.1,4.0,161,1646.81
SHP-100627,2024-01-12 00:00:00,WC-2,NE-1,Small Straight,2084.4,11.7,21.1,9.0,117,1639.54
SHP-111785,2024-08-02 00:00:00,SC-1,SW-2,Reefer,1111.95,14.2,6.3,6.0,87,2599.36
SHP-101916,2024-02-03 00:00:00,SC-1,SW-1,Large Straight,1110.3,7.7,5.6,3.0,152,1102.69
SHP-105353,2024-04-05 00:00:00,MW-2,SE-2,Large Straight,571.3,12.0,3.4,4.0,147,2042.33
SHP-107668,2024-05-17 00:00:00,SC-1,MW-2,Tractor Trailer,2565.9,17.4,14.9,7.0,181,1532.93
SHP-112551,2024-08-17 00:00:00,NE-2,NE-3,Large Straight,2081.1,16.2,22.9,4.0,75,746.53
SHP-120359,2025-01-04 00:00:00,SE-1,WC-3,Small Straight,817.8,5.1,32.3,10.0,98,1028.33
SHP-106790,2024-05-01 00:00:00,SC-1,NE-1,Cargo Van,2581.8,28.0,70.2,7.0,274,740.51
SHP-104006,2024-03-13 00:00:00,SE-3,NE-2,Large Straight,2851.1,27.6,4.9,3.0,49,3059.05
SHP-120862,2025-01-13 00:00:00,MW-1,MW-2,Large Straight,2265.7,17.3,15.0,5.0,321,694.07
SHP-122949,2025-02-20 00:00:00,SC-1,NW-1,Sprinter Van,849.2,8.8,14.5,4.0,32,897.41
SHP-108637,2024-06-04 00:00:00,MW-1,SC-2,Flatbed,2318.2,24.7,2.9,1.0,225,2979.77
SHP-128908,2025-06-09 00:00:00,WC-1,SW-1,Cargo Van,320.5,1.5,17.4,6.0,98,315.47
SHP-110600,2024-07-10 00:00:00,NE-3,SW-2,Reefer,2361.5,15.3,65.6,3.0,33,3578.84
SHP-410033,2024-10-15 08:00:00,MW-2,NW-1,Large Straight,1073.7,49.4,34.5,7.0,167,1999.37
SHP-108386,2024-05-30 00:00:00,CN-1,WC-1,Small Straight,550.3,3.3,21.1,5.0,46,694.36
SHP-118016,2024-11-22 00:00:00,MW-2,MW-1,Small Straight,3013.7,35.4,17.1,6.0,274,820.76
SHP-108738,2024-06-06 00:00:00,NE-1,SE-1,Flatbed,1681.3,11.9,8.3,3.0,262,1886.32
SHP-126038,2025-04-17 00:00:00,SE-2,WC-1,Large Straight,1143.7,11.7,67.5,6.0,112,1767.29
SHP-119059,2024-12-11 00:00:00,SC-2,WC-1,Small Straight,2645.2,14.4,16.1,3.0,120,2038.15
SHP-116606,2024-10-28 00:00:00,SW-1,SE-1,Small Straight,2498.1,16.8,22.1,5.0,121,2105.53
SHP-102356,2024-02-12 00:00:00,SC-2,MW-2,Large Straight,1999.6,16.4,3.5,2.0,109,1725.12
SHP-120456,2025-01-05 00:00:00,NE-2,NE-1,Large Straight,1935.6,14.4,13.6,4.0,233,626.41
SHP-124890,2025-03-28 00:00:00,WC-1,SE-1,Large Straight,952.4,7.6,10.1,7.0,175,1843.52
SHP-109478,2024-06-20 00:00:00,SE-1,MW-2,Cargo Van,958.4,11.6,33.9,10.0,176,390.07
SHP-109997,2024-06-29 00:00:00,NW-1,MW-1,Sprinter Van,474.0,3.9,7.9,2.0,64,1092.82
SHP-122905,2025-02-19 00:00:00,SC-1,WC-3,Sprinter Van,525.0,3.7,13.7,9.0,108,448.96
SHP-120233,2025-01-01 00:00:00,WC-3,MW-1,Cargo Van,116.3,1.2,16.7,4.0,121,321.83
SHP-101220,2024-01-23 00:00:00,NW-1,MW-1,Small Straight,1893.3,16.9,15.2,3.0,64,1325.32
SHP-101979,2024-02-05 00:00:00,SC-1,SE-3,Small Straight,1300.6,14.7,4.4,3.0,93,890.98
SHP-117221,2024-11-08 00:00:00,MW-2,SC-1,Reefer,2042.1,10.5,9.5,3.0,227,3213.79
SHP-108121,2024-05-25 00:00:00,SW-1,SE-2,Tractor Trailer,7133.9,40.7,19.5,1.0,86,6285.85
SHP-116058,2024-10-18 00:00:00,MW-1,SC-1,Small Straight,2137.3,25.0,3.0,2.0,372,1617.6
SHP-116995,2024-11-04 00:00:00,SE-2,NE-2,Cargo Van,274.9,1.8,4.6,2.0,109,656.99
SHP-120610,2025-01-08 00:00:00,SE-3,NW-1,Sprinter Van,488.5,3.0,13.0,8.0,18,1005.28
SHP-106403,2024-04-25 00:00:00,SC-1,SC-2,Cargo Van,620.1,3.9,13.2,4.0,168,197.95
SHP-115455,2024-10-08 00:00:00,MW-1,SE-2,Large Straight,744.2,7.5,2.3,1.0,231,2368.66
SHP-121145,2025-01-18 00:00:00,WC-1,MW-1,Tractor Trailer,6543.9,36.9,10.9,4.0,250,6836.48
SHP-101426,2024-01-26 00:00:00,NE-1,MW-1,Small Straight,1448.6,12.4,40.1,8.0,399,687.53
SHP-128027,2025-05-23 00:00:00,SE-2,SC-1,Cargo Van,469.6,2.6,18.0,8.0,172,298.01
SHP-126028,2025-04-17 00:00:00,MW-1,SW-2,Cargo Van,498.2,4.4,3.7,1.0,105,944.44
SHP-115439,2024-10-07 00:00:00,NE-1,NE-3,Flatbed,1778.0,10.8,20.1,6.0,110,756.7
SHP-104899,2024-03-29 00:00:00,SC-2,NE-1,Large Straight,1448.0,12.5,31.0,7.0,179,1269.28
SHP-126981,2025-05-04 00:00:00,SE-2,SE-3,Small Straight,762.1,7.1,5.3,2.0,54,601.65
SHP-125663,2025-04-11 00:00:00,SE-2,NE-1,Reefer,1345.9,13.8,10.6,6.0,180,2171.53
SHP-111024,2024-07-18 00:00:00,MW-1,WC-2,Large Straight,785.3,8.2,17.4,1.0,177,1285.52
SHP-101305,2024-01-24 00:00:00,SC-1,NW-1,Reefer,1670.7,13.0,18.9,4.0,32,3066.77
SHP-126993,2025-05-04 00:00:00,WC-2,SE-2,Small Straight,597.9,6.6,71.6,4.0,82,989.89
SHP-410030,2024-10-15 08:00:00,MW-3,SC-1,Sprinter Van,645.6,9.9,45.4,5.0,202,668.59
SHP-116886,2024-11-02 00:00:00,CN-1,SE-1,Small Straight,1768.2,15.5,14.5,3.0,65,2106.56
SHP-117463,2024-11-12 00:00:00,NE-1,MW-1,Cargo Van,413.1,4.4,6.9,1.0,399,640.14
SHP-123513,2025-03-03 00:00:00,SE-1,SE-2,Tractor Trailer,3627.8,23.9,30.7,7.0,171,836.55
SHP-123588,2025-03-05 00:00:00,SC-2,WC-1,Large Straight,1801.8,18.0,8.0,9.0,120,1666.18
SHP-128195,2025-05-26 00:00:00,SE-2,WC-1,Small Straight,1514.3,10.5,5.2,2.0,112,2710.65
SHP-125322,2025-04-05 00:00:00,MW-1,SC-2,Sprinter Van,804.1,3.6,13.7,3.0,225,582.85
SHP-127463,2025-05-13 00:00:00,WC-1,MW-1,Large Straight,2508.8,18.0,65.6,8.0,250,1850.32
SHP-119188,2024-12-13 00:00:00,NE-3,SW-1,Tractor Trailer,4326.5,30.4,2.5,4.0,56,11138.9
SHP-121990,2025-02-02 00:00:00,WC-1,SE-3,Large Straight,1118.1,10.0,41.8,4.0,55,1636.92
SHP-109843,2024-06-26 00:00:00,WC-1,SC-2,Tractor Trailer,5365.9,41.0,6.8,3.0,129,6108.56
SHP-109025,2024-06-12 00:00:00,MW-1,WC-1,Large Straight,1763.2,9.0,16.0,5.0,247,1682.84
SHP-128581,2025-06-02 00:00:00,SE-1,NE-2,Tractor Trailer,1111.95,25.0,11.0,5.0,167,2994.71
SHP-110651,2024-07-11 00:00:00,SC-1,NE-2,Small Straight,867.2,6.4,64.1,9.0,212,733.85
SHP-127115,2025-05-06 00:00:00,MW-1,SC-1,Small Straight,1403.8,8.9,64.5,8.0,372,537.35
SHP-127411,2025-05-12 00:00:00,NE-1,MW-1,Sprinter Van,324.1,2.7,18.2,1.0,399,459.83
SHP-118147,2024-11-24 00:00:00,SE-2,WC-1,Large Straight,1402.5,7.0,10.7,2.0,112,4189.27
SHP-129984,2025-06-29 00:00:00,NE-2,MW-1,Reefer,1330.2,12.8,29.0,12.0,229,1583.32
SHP-121456,2025-01-24 00:00:00,NE-2,MW-1,Reefer,1325.8,14.4,64.7,3.0,229,1413.89
SHP-114388,2024-09-18 00:00:00,SE-3,NE-1,Sprinter Van,591.5,3.7,20.1,4.0,99,2762.573979032052
SHP-105510,2024-04-08 00:00:00,NE-2,NE-1,Sprinter Van,342.5,2.6,4.2,4.0,233,279.04
SHP-124803,2025-03-27 00:00:00,CN-2,SC-1,Flatbed,2250.0,26.1,14.7,4.0,47,2613.26
SHP-125185,2025-04-03 00:00:00,MW-2,SW-1,Tractor Trailer,2255.7,16.1,7.9,3.0,117,2720.75
SHP-117898,2024-11-20 00:00:00,MW-2,NE-3,Cargo Van,260.9,2.0,19.4,4.0,87,338.09
SHP-350008,2024-08-15 00:00:00,<br>MW-1,WC-1,Small Straight,4369.8,6.2,22.6,5.0,198,2971.02
SHP-120264,2025-01-02 00:00:00,NE-1,SW-1,Small Straight,1124.7,10.1,23.4,7.0,166,1153.63
SHP-125653,2025-04-11 00:00:00,SC-1,WC-3,Small Straight,1713.1,9.2,61.4,4.0,108,950.78
SHP-118522,2024-12-01 00:00:00,MW-1,SE-1,Large Straight,4471.9,32.3,36.4,9.0,348,2401.73
SHP-110516,2024-07-09 00:00:00,SW-1,SE-3,Large Straight,4633.3,59.1,7.7,5.0,45,2879.04
SHP-127366,2025-05-11 00:00:00,MW-2,WC-2,Sprinter Van,184.4,8.8,34.4,11.0,96,422.83
SHP-109269,2024-06-16 00:00:00,SE-2,NE-1,Tractor Trailer,4071.6,29.4,22.0,3.0,180,2929.32
SHP-124502,2025-03-21 00:00:00,WC-1,WC-2,Large Straight,1471.3,9.4,13.7,4.0,87,678.11
SHP-102203,2024-02-09 00:00:00,NE-1,MW-2,Small Straight,2730.8,25.3,68.5,5.0,202,942.17
SHP-122325,2025-02-09 00:00:00,MW-3,SC-1,Sprinter Van,254.1,1.5,6.6,1.0,70,492.71
SHP-108299,2024-05-29 00:00:00,SC-1,NE-1,Tractor Trailer,6651.6,64.5,57.8,9.0,274,4500.27
SHP-129460,2025-06-19 00:00:00,WC-1,MW-1,Flatbed,1111.95,59.7,51.8,14.0,250,4066.98
SHP-117020,2024-11-04 00:00:00,SE-2,WC-1,Tractor Trailer,4132.5,29.5,9.2,5.0,112,8278.29
SHP-109529,2024-06-21 00:00:00,NW-1,SE-1,Small Straight,901.0,7.2,15.8,8.0,43,1531.81
SHP-113677,2024-09-05 00:00:00,SC-2,CN-1,Small Straight,1935.2,17.9,7.3,2.0,32,2208.86
SHP-120465,2025-01-06 00:00:00,NE-2,SC-1,Small Straight,322.2,2.2,11.5,6.0,173,651.7
SHP-105968,2024-04-16 00:00:00,SC-2,NE-3,Tractor Trailer,6579.7,68.5,26.0,9.0,77,4323.11
SHP-126467,2025-04-24 00:00:00,CN-2,NE-2,Tractor Trailer,2743.0,29.0,6.4,1.0,33,2244.64
SHP-128713,2025-06-05 00:00:00,SE-3,NE-3,Sprinter Van,475.6,2.9,13.2,4.0,53,470.27
SHP-104859,2024-03-28 00:00:00,SC-2,MW-1,Small Straight,2556.4,24.2,19.6,9.0,193,800.9
SHP-112022,2024-08-06 00:00:00,SC-1,MW-3,Sprinter Van,226.2,1.6,66.4,6.0,79,274.1
SHP-118463,2024-11-30 00:00:00,NE-2,SE-1,Cargo Van,1557.3,15.0,7.8,1.0,161,1183.05
SHP-100512,2024-01-09 00:00:00,SC-2,WC-2,Small Straight,576.3,5.0,4.9,2.0,82,1024.87
SHP-115793,2024-10-14 00:00:00,SC-1,SE-3,Cargo Van,595.7,4.7,13.8,5.0,93,311.31
SHP-101529,2024-01-28 00:00:00,MW-2,NW-1,Sprinter Van,159.2,1.6,8.4,5.0,41,152.31843543941625
SHP-113870,2024-09-08 00:00:00,WC-3,NE-2,Small Straight,1047.5,10.3,22.0,6.0,60,1506.82
SHP-117155,2024-11-07 00:00:00,SE-2,SC-1,Tractor Trailer,4232.2,8.8,7.8,2.0,172,4079.36
SHP-300007,2025-01-10 00:00:00,SE-1,SC-1,Cargo Van,3443.2,35.7,13.2,6.0,41,0.1
SHP-111938,2024-08-04 00:00:00,NE-1,SW-2,Small Straight,443.0,2.6,13.7,3.0,81,1186.12
SHP-121074,2025-01-17 00:00:00,SE-1,NE-1,Small Straight,3933.7,15.3,4.0,2.0,278,2448.87
SHP-128734,2025-06-05 00:00:00,SE-3,SC-2,Small Straight,632.1,6.1,19.3,7.0,50,634.31
SHP-120866,2025-01-13 00:00:00,SC-1,SW-2,Cargo Van,173.4,1.7,16.2,3.0,87,210.45
SHP-115285,2024-10-05 00:00:00,WC-2,SC-2,Tractor Trailer,8460.0,33.2,69.4,7.0,65,7269.58
SHP-111749,2024-08-01 00:00:00,NE-2,WC-2,Sprinter Van,694.8,4.6,7.6,3.0,74,1374.71
SHP-113132,2024-08-27 00:00:00,SW-1,NE-2,Small Straight,675.2,6.1,27.6,8.0,100,777.07
SHP-110406,2024-07-06 00:00:00,SE-1,WC-2,Large Straight,2334.8,21.5,70.6,4.0,108,2953.3
SHP-109882,2024-06-27 00:00:00,SE-3,NE-1,Flatbed,1917.6,16.7,6.6,4.0,99,1573.98
SHP-126190,2025-04-20 00:00:00,SW-2,SC-1,Flatbed,2914.7,24.5,20.9,4.0,74,10066.257942020142
SHP-400009,2024-07-01 00:00:00,NE-1,SE-1,Small Straight,1000.0,20.0,24.0,5.0,100,5000.0
SHP-113691,2024-09-05 00:00:00,NE-1,SW-1,Tractor Trailer,4984.2,8.8,14.1,4.0,166,5962.54
SHP-119241,2024-12-14 00:00:00,NE-1,MW-2,Small Straight,629.3,3.0,12.0,5.0,202,819.22
SHP-118950,2024-12-09 00:00:00,CN-1,MW-2,Cargo Van,830.0,5.8,3.5,2.0,59,789.35
SHP-108766,2024-06-06 00:00:00,WC-3,WC-1,Flatbed,3179.7,46.0,13.0,3.0,71,2455.94
SHP-106667,2024-04-29 00:00:00,WC-2,SE-2,Reefer,3457.8,24.7,46.4,8.0,82,4019.08
SHP-111881,2024-08-03 00:00:00,SE-1,MW-2,Sprinter Van,124.2,1.0,3.1,2.0,176,838.33
SHP-106455,2024-04-25 00:00:00,NE-3,SC-1,Cargo Van,1350.2,9.8,20.6,6.0,111,677.71
SHP-120082,2024-12-29 00:00:00,SE-1,NE-3,Reefer,1959.8,15.5,6.0,2.0,115,3391.32
SHP-116860,2024-11-01 00:00:00,MW-1,SW-1,Cargo Van,703.4,4.3,50.0,7.0,199,510.53
SHP-124849,2025-03-27 00:00:00,SE-1,SC-2,Large Straight,1170.2,13.6,61.3,9.0,121,2462.901676882913
SHP-118925,2024-12-08 00:00:00,SE-3,MW-1,Small Straight,1303.2,13.1,22.9,10.0,127,1104.89
SHP-106541,2024-04-27 00:00:00,SC-1,SC-2,Sprinter Van,378.7,3.3,7.5,3.0,168,267.92
SHP-125008,2025-03-30 00:00:00,SE-2,SC-2,Small Straight,2221.9,21.8,2.3,1.0,104,2192.15
SHP-107971,2024-05-22 00:00:00,SW-1,WC-3,Small Straight,1859.5,12.4,3.2,1.0,40,1273.36
SHP-107395,2024-05-12 00:00:00,NE-1,SE-1,Flatbed,996.4,11.1,3.1,2.0,262,2201.66
SHP-120672,2025-01-09 00:00:00,SW-1,MW-3,Small Straight,888.5,6.4,2.4,6.0,45,1155.98
SHP-127076,2025-05-05 00:00:00,SW-1,SW-2,Tractor Trailer,4149.9,40.8,21.3,4.0,36,1750.38
SHP-103649,2024-03-07 00:00:00,CN-2,NE-3,Large Straight,699.3,8.8,6.5,2.0,30,938.07
SHP-126062,2025-04-18 00:00:00,SW-2,NE-1,Small Straight,1221.9,12.0,68.5,7.0,61,1155.83
SHP-118350,2024-11-28 00:00:00,SE-1,SE-2,Sprinter Van,257.6,1.8,42.3,10.0,171,136.16
SHP-127057,2025-05-05 00:00:00,MW-1,SE-1,Cargo Van,284.1,8.8,60.3,8.0,348,78.14865935667338
SHP-104130,2024-03-16 00:00:00,SE-1,NE-1,Cargo Van,694.4,6.2,5.6,1.0,278,757.75
SHP-124925,2025-03-29 00:00:00,MW-2,WC-1,Cargo Van,435.1,4.8,4.3,4.0,157,896.45
SHP-107551,2024-05-15 00:00:00,MW-1,SW-1,Small Straight,2968.7,25.5,12.0,4.0,199,1646.58
SHP-108382,2024-05-30 00:00:00,WC-1,SC-1,Cargo Van,275.1,2.1,7.6,3.0,197,513.67
SHP-123683,2025-03-06 00:00:00,SE-2,NE-1,Small Straight,1499.7,11.9,28.0,5.0,180,669.3
SHP-115681,2024-10-12 00:00:00,NE-1,SE-3,Tractor Trailer,3123.0,18.3,2.8,3.0,95,4276.29
SHP-100301,2024-01-06 00:00:00,MW-2,WC-1,Large Straight,867.8,6.3,16.3,5.0,157,1258.13
SHP-121782,2025-01-29 00:00:00,CN-2,MW-1,Sprinter Van,453.5,8.8,17.0,3.0,53,305.43
SHP-116318,2024-10-23 00:00:00,SE-1,MW-2,Small Straight,2785.2,31.4,15.0,5.0,176,1282.43
SHP-101099,2024-01-21 00:00:00,SE-3,NE-3,Sprinter Van,196.7,1.2,40.4,10.0,53,319.12
SHP-108286,2024-05-28 00:00:00,MW-1,CN-1,Small Straight,3506.4,23.4,5.9,3.0,88,1570.51
SHP-100467,2024-01-09 00:00:00,SC-1,MW-3,Cargo Van,672.5,5.8,5.5,2.0,79,596.44
SHP-116619,2024-10-28 00:00:00,NW-1,NE-1,Sprinter Van,298.9,3.2,23.7,4.0,41,889.04
SHP-121217,2025-01-19 00:00:00,CN-2,SC-1,Reefer,1380.7,9.8,18.7,4.0,47,2926.7
SHP-111768,2024-08-01 00:00:00,NE-1,WC-3,Cargo Van,389.8,3.3,5.9,3.0,110,906.6
SHP-127147,2025-05-07 00:00:00,SW-2,MW-1,Large Straight,1116.7,7.4,37.6,11.0,100,1030.84
SHP-121771,2025-01-29 00:00:00,CN-2,SE-1,Small Straight,1049.3,13.7,6.6,3.0,40,1149.09
SHP-124364,2025-03-19 00:00:00,SW-2,SC-1,Small Straight,899.3,5.5,7.2,3.0,74,693.36
SHP-104178,2024-03-16 00:00:00,SE-2,MW-1,Flatbed,3476.4,33.3,14.4,7.0,237,3012.47
SHP-126290,2025-04-22 00:00:00,WC-3,SE-2,Sprinter Van,1357.4,9.1,47.3,8.0,61,1060.99
